xi,qmax_scale,plan,V_pen,J_ac,feasible_dc,ac_ok
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.3,open(125); open(131); open(141),2509.4903614982477,2509.4903614982477,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.3,open(41); open(128); open(S6:136),2583.6400213510374,2583.6400213510374,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,0.3,open(125); open(131); open(S7:150),2613.2398064532986,2613.2398064532986,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.25,open(41); open(128); open(S6:136),2642.732719572669,2642.732719572669,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,0.25,open(S2:15); open(S2:16); open(S2:17),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,0.2,open(105); open(128); open(S6:136),2880.434061573751,2880.434061573751,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,0.2,open(34); open(35); open(40),,,0,0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(118); open(131); open(S7:150),2621.9501719271616,2621.9501719271616,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(118); open(131); open(149),2631.825094248493,2631.825094248493,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(118); open(S1:41); open(128),2764.1651945642016,2764.1651945642016,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(118); open(131); open(S6:135),2643.729692264685,2643.729692264685,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(131); open(149),2665.159432177005,2665.159432177005,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(118); open(S9:10); open(131),2641.6791464314533,2641.6791464314533,1,1
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,0.3,open(S1:34); open(S2:15); open(S3:70),2708.769874545634,2708.769874545634,1,1
