xi,chosen,rejected,best_V,worst_V,delta_V,rel_V,best_J_dc,worst_J_dc
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(18); open(19),open(S2:15); open(S2:16); open(S2:17),12183.124241918687,1000000.0,987816.8757580813,82.08075204218001,1870.7956957945528,6647.92987140887
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),open(S1:34); open(S1:35); open(S1:40),12581.211668063606,1000000.0,987418.7883319363,79.48360033862394,1828.2489364981263,5910.347036957208
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),open(34); open(35); open(40),12581.211668063606,1000000.0,987418.7883319363,79.48360033862394,1828.2489364981263,5910.347036957208
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),open(S1:34); open(S2:15); open(S3:70),12581.211668063606,15469.466156772254,2888.254488708648,1.229568865456755,1828.2489364981263,1831.1442206016814
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:123); open(131); open(149),open(S1:34); open(S1:35); open(S1:40),12333.434727684535,1000000.0,987666.5652723155,81.08041450572779,2370.6143150518737,6452.707626508993
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:123); open(131); open(149),open(34); open(35); open(40),12333.434727684535,1000000.0,987666.5652723155,81.08041450572779,2370.6143150518737,6452.707626508993
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:123); open(131); open(149),open(S1:34); open(S2:15); open(S3:70),12333.434727684535,15006.899288803224,2673.4645611186897,1.216765614781877,2370.6143150518737,2372.5586536368573
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),open(34); open(35); open(40),12081.081674570496,1000000.0,987918.9183254295,82.77404515068406,2203.0836752918367,6285.1640479479465
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S3:70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S9:5),12186.087310440964,1000000.0,987813.912689559,82.06079396322774,1963.6337833408559,9030.237039819873
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S6:135); open(149),open(S1:34); open(S1:35); open(S1:40),12186.087310440964,1000000.0,987813.912689559,82.06079396322774,1963.6337833408559,6045.725596416197
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S6:135); open(149),open(S3:70); open(S5:120); open(S1:34),12186.087310440964,15391.19568009623,3205.108369655267,1.2630137375520976,1963.6337833408559,1960.060388911876
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(5); open(6); open(7),12048.412543640508,1000000.0,987951.5874563595,82.99848601447734,2163.6555259630313,7535.864044151998
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S3:70),12048.412543640508,14954.581923611999,2906.1693799714903,1.241207658639266,2163.6555259630313,2166.0927289081856
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12048.412543640508,14954.581923611999,2906.1693799714903,1.241207658639266,2163.6555259630313,2166.0927289081856
