xi,chosen,rejected,best_V,worst_V,delta_V,rel_V,best_J_dc,worst_J_dc
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(S6:135),open(S1:34); open(S6:135); open(S9:5),12173.935961463707,1000000.0,987826.0640385363,82.14270250521075,10440.209184896701,12132.49288771394
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),open(S2:15); open(S2:16); open(S2:17),12212.442310292763,1000000.0,987787.5576897073,81.88370307855543,1870.7956957945528,6647.92987140887
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_3021.json,open(41); open(128); open(S6:136),open(18); open(19); open(34),12212.442310292763,12714.511973104736,502.0696628119731,1.041111323194446,1870.7956957945528,1871.338303130923
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),open(S1:34); open(S1:35); open(S1:40),12581.211668063606,1000000.0,987418.7883319363,79.48360033862394,1828.2489364981263,5910.347036957208
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8378.json,open(105); open(128); open(S6:136),open(S1:34); open(S2:15); open(S3:70),12581.211668063606,15469.466156772254,2888.254488708648,1.229568865456755,1828.2489364981263,1831.1442206016814
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(135),open(S1:34); open(S1:35); open(S1:40),12173.392934578724,1000000.0,987826.6070654213,82.14636670106027,2370.6143150518737,6452.707626508993
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(135),open(S1:34); open(S2:15); open(S3:70),12173.392934578724,15006.899288803224,2833.5063542245007,1.23276225202391,2370.6143150518737,2372.5586536368573
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(135),open(S2:15); open(S3:70); open(S4:95),12173.392934578724,14445.6830798799,2272.2901453011764,1.186660379527116,2370.6143150518737,2370.096000093273
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S3:70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S6:135); open(149),open(S1:34); open(S1:35); open(S1:40),12186.087310440964,1000000.0,987813.912689559,82.06079396322774,1963.6337833408559,6045.725596416197
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S4:95),12186.087310440964,12689.547120835869,503.4598103949047,1.041314311769582,1963.6337833408559,1962.2114418961025
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(5); open(6); open(7),12048.412543640508,1000000.0,987951.5874563595,82.99848601447734,2163.6555259630313,7535.864044151998
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(5); open(S2:16); open(S3:70),12048.412543640508,16453.346861457278,4404.934317816769,1.3656028793720063,2163.6555259630313,2163.6555259630313
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(S6:135); open(149),open(S1:34); open(S2:15); open(S3:70),12048.412543640508,14954.581923611999,2906.1693799714903,1.241207658639266,2163.6555259630313,2166.0927289081856
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S2:15); open(S9:5); open(S1:34),12167.853988479876,1000000.0,987832.1460115202,82.1837606653373,1867.87184302384,8934.493550244375
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S1:34); open(S1:35); open(S1:40),12167.853988479876,1000000.0,987832.1460115202,82.1837606653373,1867.87184302384,5949.975135265664
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(S2:15); open(S2:16); open(S2:17),12167.853988479876,14415.580146213808,2247.7261577339323,1.1847265885884237,1867.87184302384,1867.5927715185528
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S6:136),open(34); open(40); open(42),14232.890173447076,1000000.0,985767.1098265529,70.25979880499627,1871.0725095117298,5954.804548519479
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2976.json,open(105); open(128); open(S6:136),open(15); open(160); open(34),14145.853684524898,15086.214747773387,940.3610632484888,1.0664760914554923,1870.7298502689682,2052.7524118056144
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),open(S9:5); open(S9:6); open(S9:7),12168.070121083769,1000000.0,987831.9298789162,82.1823008948056,2691.9172844898617,16222.314006220873
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),open(5); open(6); open(7),12168.070121083769,1000000.0,987831.9298789162,82.1823008948056,2691.9172844898617,16222.314006220873
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4541.json,open(125); open(131); open(141),open(S6:135); open(S6:136); open(S6:137),12168.070121083769,1000000.0,987831.9298789162,82.1823008948056,2691.9172844898617,14357.927437961573
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S7:150),open(34); open(35); open(40),12193.150337811932,1000000.0,987806.8496621881,82.0132592722096,1870.7264282273334,5952.840485222488
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S7:150),open(S1:34); open(S1:35); open(S1:40),12193.150337811932,1000000.0,987806.8496621881,82.0132592722096,1870.7264282273334,5952.840485222488
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7547.json,open(105); open(128); open(S7:150),open(S1:34); open(S2:15); open(S3:70),12193.150337811932,15089.21956647302,2896.0692286610883,1.2375160765204498,1870.7264282273334,1873.4945281457324
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),open(S1:34); open(S1:35); open(S1:40),12198.078933857292,1000000.0,987801.9210661427,81.9801220685968,1816.3437612511725,5898.447423028435
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_7349.json,open(118); open(131); open(S6:135),open(S1:34); open(S2:15); open(S3:70),12198.078933857292,14985.781457289713,2787.702523432421,1.2285361931619252,1816.3437612511725,1819.1621396633518
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(S1:34); open(S1:35); open(S1:40),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,5945.242450347642
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(34); open(35); open(40),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,5945.242450347642
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1932.json,open(105); open(128); open(S6:136),open(S1:34); open(S2:15); open(S3:70),12128.738401632165,1000000.0,987871.2615983678,82.44880604114852,1863.1357006593862,8932.626137927173
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,open(105); open(128); open(S6:136),open(S3:70); open(S3:71); open(S3:72),12033.837342045881,1000000.0,987966.1626579541,83.09901252412884,1873.0863825648642,3673.2765517827393
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,open(105); open(128); open(S6:136),open(S3:70); open(S1:34); open(S2:15),12033.837342045881,14933.358587543344,2899.5212454974626,1.2409473522935712,1873.0863825648642,1877.1154842312194
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6334.json,open(S3:70); open(S1:34); open(S2:15),open(S3:70); open(S3:71); open(S3:72),14933.358587543344,1000000.0,985066.6414124566,66.96417246915571,1877.1154842312194,3673.2765517827393
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,open(132); open(147); open(S7:150),open(S6:135); open(S6:136); open(S6:137),12797.932429810513,1000000.0,987202.0675701895,78.13762148569228,2575.164017620807,8408.566739822352
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,open(132); open(147); open(S7:150),open(34); open(15); open(70),12797.932429810513,14986.955208022584,2189.022778212071,1.1710450332674933,2575.164017620807,2578.5816939023584
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_1810.json,open(132); open(147); open(S7:150),open(S1:34); open(S2:15); open(S3:70),12797.932429810513,14986.955208022584,2189.022778212071,1.1710450332674933,2575.164017620807,2578.5816939023584
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9170.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12529.277253147106,15194.019196524328,2664.741943377223,1.2126812177221071,2593.960586908255,2597.1308461651925
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,open(41); open(128); open(S6:136),open(34); open(40); open(42),16079.662246876762,1000000.0,983920.3377531233,62.1903610067578,1873.999591602372,5957.726014927657
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_76.json,open(41); open(128); open(S6:136),open(S1:34); open(S1:40); open(S1:42),16079.662246876762,1000000.0,983920.3377531233,62.1903610067578,1873.999591602372,5957.726014927657
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_6051.json,open(131); open(S6:135); open(149),open(34); open(15); open(70),12081.081674570496,14985.764050196536,2904.68237562604,1.240432310108466,2203.0836752918367,2205.532770809893
