xi,chosen,rejected,best_V,worst_V,delta_V,rel_V
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(S6:136),open(41); open(128); open(S6:136),11919.592590716667,12010.086462909709,90.49387219304117,1.00759202728653
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(S6:136),open(125); open(131); open(141),11919.592590716667,11934.694701513603,15.102110796935449,1.001266998908058
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8708.json,open(125); open(131); open(141),open(41); open(128); open(S6:136),11934.694701513603,12010.086462909709,75.39176139610572,1.0063170247150557
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(141),open(118); open(S6:136); open(149),12275.434314927263,15126.184928913322,2850.7506139860598,1.2322321590299636
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(141),open(118); open(S1:41); open(128),12275.434314927263,14914.832075093676,2639.3977601664137,1.2150146131250799
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(141),open(118); open(128),12275.434314927263,14869.341664398697,2593.907349471434,1.211308804472781
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9002.json,open(S5:124); open(131); open(141),open(118); open(131); open(149),12275.434314927263,14472.878275313758,2197.4439603864957,1.179011504115528
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),open(S1:34); open(S2:15); open(S3:70),11827.708607092292,14861.623369815146,3033.914762722854,1.2565090892502726
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),open(131); open(149); open(S7:150),11827.708607092292,11827.758631911198,0.0500248189055128,1.0000042294598699
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(149),open(131); open(S7:149),11827.708607092292,11827.708607092292,0.0,1.0
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_564.json,open(131); open(S7:149),open(S1:34); open(S2:15); open(S3:70),11827.708607092292,14861.623369815146,3033.914762722854,1.2565090892502726
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),open(131); open(S7:150),11925.615942696422,11925.908396410998,0.29245371457545843,1.0000245231538547
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131); open(149); open(S7:150),open(131),11925.615942696422,11925.885016840448,0.2690741440255806,1.0000225627041253
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_8133.json,open(131),open(131); open(S7:150),11925.885016840448,11925.908396410998,0.023379570549877826,1.0000019604054975
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(S4:96); open(S7:150); open(S1:34),11786.553727493732,13833.365662150924,2046.8119346571912,1.1736565226765756
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(S7:149); open(155),11786.553727493732,12342.849683040813,556.2959555470807,1.047197507295915
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(147); open(S9:10),11786.553727493732,12190.177159756231,403.6234322624987,1.0342443976071642
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_4437.json,open(131); open(149); open(S7:150),open(131); open(141); open(S7:150),11786.553727493732,11790.057859337681,3.504131843948926,1.000297299102432
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_2016.json,open(105); open(128); open(S6:136),open(105); open(128); open(132),11910.102855202274,12423.353208147291,513.2503529450169,1.0430936960985884
C:/Users/moham/Downloads/wildfire codes/io/psps_1762883572_9528.json,open(105); open(128); open(S6:136),open(41); open(128); open(S6:136),13982.456606775522,14044.388620966936,61.932014191414055,1.004429265609979
